--- Round 01 ---
>>> UTC SYNC REACHED. COMMENCING TOTAL TURNOVER. <<<

>>> DROPPING ORIGINAL Node 000 <<<
>>> ADDING NEWCOMER Node 010 (RECOVERING) <<<
--- Round 18 ---
Node 001 | Synced      | UTC: 02:21:40.573
Node 002 | Synced      | UTC: 02:21:40.573
Node 003 | Synced      | UTC: 02:21:40.573
Node 004 | Synced      | UTC: 02:21:40.083
Node 005 | Synced      | UTC: 02:21:40.083
Node 006 | Synced      | UTC: 02:21:40.083
Node 007 | Synced      | UTC: 02:21:40.083
Node 008 | Synced      | UTC: 02:21:40.083
Node 009 | Synced      | UTC: 02:21:40.083
Node 010 | RECOVERING  | UTC: 00:51:40.266
>>> DROPPING ORIGINAL Node 001 <<<
>>> ADDING NEWCOMER Node 011 (RECOVERING) <<<
--- Round 19 ---
Node 002 | Synced      | UTC: 02:21:40.475
Node 003 | Synced      | UTC: 02:21:40.475
Node 004 | Synced      | UTC: 02:21:40.083
Node 005 | Synced      | UTC: 02:21:40.083
Node 006 | Synced      | UTC: 02:21:40.083
Node 007 | Synced      | UTC: 02:21:40.083
Node 008 | Synced      | UTC: 02:21:40.083
Node 009 | Synced      | UTC: 02:21:40.083
Node 010 | RECOVERING  | UTC: 01:27:40.192
Node 011 | RECOVERING  | UTC: 00:51:40.266
>>> DROPPING ORIGINAL Node 002 <<<
>>> ADDING NEWCOMER Node 012 (RECOVERING) <<<
--- Round 20 ---
Node 003 | Synced      | UTC: 02:21:40.397
Node 004 | Synced      | UTC: 02:21:40.083
Node 005 | Synced      | UTC: 02:21:40.083
Node 006 | Synced      | UTC: 02:21:40.083
Node 007 | Synced      | UTC: 02:21:40.083
Node 008 | Synced      | UTC: 02:21:40.083
Node 009 | Synced      | UTC: 02:21:40.083
Node 010 | RECOVERING  | UTC: 01:49:16.148
Node 011 | RECOVERING  | UTC: 01:27:40.192
Node 012 | RECOVERING  | UTC: 00:51:40.266
>>> DROPPING ORIGINAL Node 003 <<<
>>> ADDING NEWCOMER Node 013 (RECOVERING) <<<
--- Round 21 ---
Node 004 | RECOVERING  | UTC: 02:15:11.297
Node 005 | RECOVERING  | UTC: 02:15:11.297
Node 006 | RECOVERING  | UTC: 02:15:11.297
Node 007 | RECOVERING  | UTC: 02:15:11.297
Node 008 | RECOVERING  | UTC: 02:15:11.297
Node 009 | RECOVERING  | UTC: 02:15:11.297
Node 010 | RECOVERING  | UTC: 01:55:44.936
Node 011 | RECOVERING  | UTC: 01:42:47.362
Node 012 | RECOVERING  | UTC: 01:21:11.406
Node 013 | RECOVERING  | UTC: 00:45:11.480
>>> DROPPING ORIGINAL Node 004 <<<
>>> ADDING NEWCOMER Node 014 (RECOVERING) <<<
--- Round 22 ---
Node 005 | RECOVERING  | UTC: 02:08:42.510
Node 006 | RECOVERING  | UTC: 02:08:42.510
Node 007 | RECOVERING  | UTC: 02:08:42.510
Node 008 | RECOVERING  | UTC: 02:08:42.510
Node 009 | RECOVERING  | UTC: 02:08:42.510
Node 010 | RECOVERING  | UTC: 01:57:02.693
Node 011 | RECOVERING  | UTC: 01:49:16.149
Node 012 | RECOVERING  | UTC: 01:36:18.575
Node 013 | RECOVERING  | UTC: 01:14:42.619
Node 014 | RECOVERING  | UTC: 00:42:35.965
>>> DROPPING ORIGINAL Node 005 <<<
>>> ADDING NEWCOMER Node 015 (RECOVERING) <<<
--- Round 23 ---
Node 006 | RECOVERING  | UTC: 02:02:13.723
Node 007 | RECOVERING  | UTC: 02:02:13.723
Node 008 | RECOVERING  | UTC: 02:02:13.723
Node 009 | RECOVERING  | UTC: 02:02:13.723
Node 010 | RECOVERING  | UTC: 01:55:13.833
Node 011 | RECOVERING  | UTC: 01:50:33.906
Node 012 | RECOVERING  | UTC: 01:42:47.362
Node 013 | RECOVERING  | UTC: 01:29:49.788
Node 014 | RECOVERING  | UTC: 01:10:33.796
Node 015 | RECOVERING  | UTC: 00:40:00.451
>>> DROPPING ORIGINAL Node 006 <<<
>>> ADDING NEWCOMER Node 016 (RECOVERING) <<<
--- Round 24 ---
Node 007 | RECOVERING  | UTC: 01:54:20.959
Node 008 | RECOVERING  | UTC: 01:54:20.959
Node 009 | RECOVERING  | UTC: 01:54:20.959
Node 010 | RECOVERING  | UTC: 01:50:09.024
Node 011 | RECOVERING  | UTC: 01:47:21.068
Node 012 | RECOVERING  | UTC: 01:42:41.142
Node 013 | RECOVERING  | UTC: 01:34:54.597
Node 014 | RECOVERING  | UTC: 01:23:21.001
Node 015 | RECOVERING  | UTC: 01:05:00.994
Node 016 | RECOVERING  | UTC: 00:36:00.958
>>> DROPPING ORIGINAL Node 007 <<<
>>> ADDING NEWCOMER Node 017 (RECOVERING) <<<
--- Round 25 ---
Node 008 | RECOVERING  | UTC: 01:46:44.991
Node 009 | RECOVERING  | UTC: 01:46:44.991
Node 010 | RECOVERING  | UTC: 01:44:13.830
Node 011 | RECOVERING  | UTC: 01:42:33.056
Node 012 | RECOVERING  | UTC: 01:39:45.100
Node 013 | RECOVERING  | UTC: 01:35:05.173
Node 014 | RECOVERING  | UTC: 01:28:09.015
Node 015 | RECOVERING  | UTC: 01:17:09.011
Node 016 | RECOVERING  | UTC: 00:59:44.989
Node 017 | RECOVERING  | UTC: 00:33:08.648
>>> DROPPING ORIGINAL Node 008 <<<
>>> ADDING NEWCOMER Node 018 (RECOVERING) <<<
--- Round 26 ---
Node 009 | RECOVERING  | UTC: 01:39:25.817
Node 010 | RECOVERING  | UTC: 01:37:55.121
Node 011 | RECOVERING  | UTC: 01:36:54.656
Node 012 | RECOVERING  | UTC: 01:35:13.883
Node 013 | RECOVERING  | UTC: 01:32:25.926
Node 014 | RECOVERING  | UTC: 01:28:16.231
Node 015 | RECOVERING  | UTC: 01:21:40.228
Node 016 | RECOVERING  | UTC: 01:11:13.815
Node 017 | RECOVERING  | UTC: 00:55:16.011
Node 018 | RECOVERING  | UTC: 00:30:23.056
>>> DROPPING ORIGINAL Node 009 <<<
>>> ADDING NEWCOMER Node 019 (RECOVERING) <<<
--- Round 27 ---
Node 010 | RECOVERING  | UTC: 01:31:29.021
Node 011 | RECOVERING  | UTC: 01:30:52.742
Node 012 | RECOVERING  | UTC: 01:29:52.278
Node 013 | RECOVERING  | UTC: 01:28:11.504
Node 014 | RECOVERING  | UTC: 01:25:41.687
Node 015 | RECOVERING  | UTC: 01:21:44.084
Node 016 | RECOVERING  | UTC: 01:15:28.237
Node 017 | RECOVERING  | UTC: 01:05:53.554
Node 018 | RECOVERING  | UTC: 00:50:57.781
Node 019 | RECOVERING  | UTC: 00:27:44.182

>>> TURNOVER COMPLETE. WAITING FOR NEWCOMER SYNC. <<<

--- Round 28 ---
Node 010 | RECOVERING  | UTC: 01:27:37.361
Node 011 | RECOVERING  | UTC: 01:27:15.594
Node 012 | RECOVERING  | UTC: 01:26:39.315
Node 013 | RECOVERING  | UTC: 01:25:38.851
Node 014 | RECOVERING  | UTC: 01:24:08.961
Node 015 | RECOVERING  | UTC: 01:21:46.398
Node 016 | RECOVERING  | UTC: 01:18:00.890
Node 017 | RECOVERING  | UTC: 01:12:16.080
Node 018 | RECOVERING  | UTC: 01:03:18.616
Node 019 | RECOVERING  | UTC: 00:49:22.457
--- Round 29 ---
Node 010 | RECOVERING  | UTC: 01:25:18.366
Node 011 | RECOVERING  | UTC: 01:25:05.306
Node 012 | RECOVERING  | UTC: 01:24:43.539
Node 013 | RECOVERING  | UTC: 01:24:07.260
Node 014 | RECOVERING  | UTC: 01:23:13.326
Node 015 | RECOVERING  | UTC: 01:21:47.787
Node 016 | RECOVERING  | UTC: 01:19:32.483
Node 017 | RECOVERING  | UTC: 01:16:05.597
Node 018 | RECOVERING  | UTC: 01:10:43.118
Node 019 | RECOVERING  | UTC: 01:02:21.423
--- Round 30 ---
Node 010 | RECOVERING  | UTC: 01:23:54.969
Node 011 | RECOVERING  | UTC: 01:23:47.133
Node 012 | RECOVERING  | UTC: 01:23:34.072
Node 013 | RECOVERING  | UTC: 01:23:12.305
Node 014 | RECOVERING  | UTC: 01:22:39.945
Node 015 | RECOVERING  | UTC: 01:21:48.620
Node 016 | RECOVERING  | UTC: 01:20:27.438
